iter	Passed	Remaining
0	171	51197
1	200	29811
2	227	22479
3	256	18996
4	285	16858
5	313	15360
6	339	14217
7	367	13409
8	395	12792
9	424	12307
10	454	11930
11	484	11620
12	510	11277
13	539	11019
14	568	10797
15	595	10575
16	624	10390
17	651	10208
18	678	10029
19	707	9910
20	736	9781
21	766	9689
22	792	9548
23	822	9461
24	852	9375
25	880	9282
26	908	9182
27	937	9102
28	967	9044
29	994	8952
30	1022	8868
31	1052	8812
32	1079	8733
33	1106	8659
34	1136	8606
35	1163	8533
36	1193	8485
37	1224	8441
38	1253	8389
39	1281	8326
40	1308	8265
41	1336	8208
42	1364	8153
43	1389	8087
44	1417	8032
45	1445	7983
46	1474	7936
47	1500	7879
48	1529	7832
49	1558	7794
50	1588	7754
51	1616	7710
52	1644	7662
53	1672	7620
54	1700	7575
55	1728	7531
56	1757	7492
57	1786	7455
58	1814	7412
59	1840	7362
60	1871	7332
61	1901	7299
62	1928	7253
63	1955	7211
64	1986	7180
65	2014	7140
66	2041	7099
67	2072	7069
68	2101	7034
69	2127	6990
70	2156	6956
71	2185	6921
72	2214	6887
73	2241	6845
74	2268	6806
75	2297	6770
76	2326	6737
77	2355	6705
78	2383	6667
79	2411	6630
80	2441	6600
81	2470	6568
82	2498	6532
83	2526	6497
84	2553	6459
85	2584	6430
86	2609	6388
87	2638	6355
88	2667	6322
89	2692	6283
90	2721	6251
91	2750	6218
92	2777	6181
93	2807	6152
94	2835	6119
95	2864	6086
96	2891	6051
97	2923	6025
98	2951	5992
99	2975	5951
100	3006	5923
101	3035	5892
102	3063	5859
103	3091	5825
104	3118	5791
105	3142	5751
106	3173	5723
107	3205	5698
108	3233	5666
109	3259	5629
110	3289	5600
111	3320	5573
112	3350	5544
113	3379	5514
114	3407	5481
115	3433	5446
116	3460	5412
117	3490	5384
118	3516	5348
119	3541	5312
120	3568	5279
121	3594	5244
122	3619	5208
123	3642	5169
124	3669	5136
125	3693	5101
126	3720	5067
127	3745	5032
128	3771	4999
129	3797	4965
130	3824	4934
131	3850	4900
132	3876	4867
133	3902	4834
134	3927	4800
135	3952	4766
136	3975	4730
137	4002	4699
138	4026	4663
139	4051	4630
140	4078	4599
141	4104	4567
142	4129	4533
143	4154	4500
144	4183	4471
145	4207	4437
146	4234	4406
147	4258	4373
148	4284	4341
149	4308	4308
150	4335	4277
151	4360	4246
152	4386	4214
153	4410	4181
154	4437	4151
155	4464	4121
156	4489	4089
157	4517	4059
158	4540	4026
159	4566	3996
160	4591	3963
161	4616	3932
162	4640	3900
163	4667	3870
164	4691	3838
165	4718	3808
166	4742	3776
167	4768	3746
168	4792	3714
169	4817	3683
170	4841	3652
171	4868	3623
172	4897	3595
173	4922	3564
174	4948	3534
175	4972	3503
176	5000	3474
177	5024	3443
178	5049	3413
179	5072	3381
180	5100	3353
181	5124	3322
182	5150	3292
183	5175	3262
184	5201	3233
185	5225	3203
186	5252	3174
187	5277	3144
188	5302	3114
189	5325	3083
190	5352	3054
191	5377	3025
192	5402	2995
193	5430	2967
194	5454	2937
195	5481	2908
196	5506	2879
197	5534	2850
198	5557	2820
199	5582	2791
200	5607	2761
201	5634	2733
202	5658	2704
203	5690	2677
204	5719	2650
205	5743	2620
206	5770	2592
207	5797	2564
208	5822	2535
209	5851	2507
210	5875	2478
211	5899	2448
212	5923	2419
213	5953	2392
214	5976	2362
215	6002	2334
216	6029	2306
217	6054	2277
218	6078	2248
219	6106	2220
220	6133	2192
221	6157	2163
222	6183	2135
223	6210	2107
224	6235	2078
225	6260	2049
226	6286	2021
227	6312	1993
228	6337	1964
229	6365	1937
230	6388	1908
231	6415	1880
232	6441	1852
233	6465	1823
234	6489	1795
235	6517	1767
236	6542	1739
237	6567	1710
238	6591	1682
239	6617	1654
240	6642	1626
241	6669	1598
242	6695	1570
243	6720	1542
244	6748	1514
245	6773	1486
246	6798	1458
247	6824	1430
248	6849	1402
249	6874	1374
250	6904	1347
251	6932	1320
252	6956	1292
253	6980	1264
254	7005	1236
255	7033	1208
256	7057	1180
257	7084	1153
258	7107	1125
259	7133	1097
260	7157	1069
261	7183	1041
262	7208	1014
263	7233	986
264	7257	958
265	7286	931
266	7312	903
267	7337	876
268	7362	848
269	7389	821
270	7415	793
271	7440	765
272	7465	738
273	7490	710
274	7516	683
275	7540	655
276	7567	628
277	7590	600
278	7616	573
279	7642	545
280	7667	518
281	7691	490
282	7719	463
283	7742	436
284	7767	408
285	7792	381
286	7821	354
287	7846	326
288	7872	299
289	7898	272
290	7921	244
291	7949	217
292	7972	190
293	7999	163
294	8023	135
295	8049	108
296	8083	81
297	8107	54
298	8133	27
299	8158	0
