iter	Passed	Remaining
0	154	77101
1	170	42502
2	186	30936
3	201	24961
4	218	21613
5	239	19732
6	260	18351
7	277	17046
8	297	16216
9	317	15555
10	338	15052
11	365	14881
12	384	14396
13	408	14171
14	425	13747
15	440	13320
16	459	13050
17	480	12856
18	501	12687
19	517	12421
20	530	12096
21	545	11851
22	564	11711
23	582	11543
24	596	11341
25	610	11123
26	628	11004
27	654	11031
28	671	10905
29	685	10741
30	702	10631
31	715	10469
32	736	10415
33	753	10328
34	770	10230
35	789	10175
36	806	10098
37	822	10002
38	843	9968
39	861	9907
40	877	9822
41	896	9773
42	912	9697
43	928	9624
44	947	9576
45	962	9496
46	983	9475
47	999	9414
48	1013	9324
49	1031	9279
50	1047	9223
51	1067	9197
52	1086	9163
53	1100	9086
54	1120	9064
55	1136	9009
56	1157	8993
57	1172	8937
58	1189	8891
59	1206	8847
60	1220	8785
61	1234	8720
62	1249	8666
63	1263	8608
64	1280	8571
65	1300	8552
66	1326	8574
67	1344	8539
68	1361	8502
69	1376	8457
70	1393	8417
71	1410	8384
72	1424	8329
73	1437	8273
74	1451	8226
75	1475	8229
76	1489	8182
77	1509	8168
78	1523	8117
79	1537	8074
80	1552	8028
81	1565	7980
82	1582	7951
83	1593	7891
84	1608	7852
85	1623	7814
86	1641	7790
87	1655	7751
88	1669	7707
89	1681	7659
90	1696	7623
91	1708	7578
92	1726	7556
93	1741	7519
94	1756	7486
95	1770	7449
96	1784	7413
97	1800	7385
98	1813	7347
99	1826	7307
100	1842	7277
101	1855	7241
102	1871	7211
103	1887	7186
104	1902	7157
105	1917	7126
106	1929	7086
107	1948	7071
108	1963	7044
109	1979	7016
110	1995	6994
111	2008	6956
112	2022	6925
113	2036	6896
114	2053	6873
115	2067	6845
116	2082	6817
117	2094	6779
118	2106	6744
119	2118	6709
120	2134	6685
121	2149	6661
122	2167	6642
123	2178	6606
124	2196	6589
125	2210	6559
126	2223	6529
127	2236	6500
128	2251	6474
129	2265	6446
130	2280	6422
131	2297	6404
132	2311	6378
133	2351	6422
134	2366	6398
135	2387	6389
136	2401	6363
137	2417	6341
138	2430	6311
139	2446	6290
140	2458	6260
141	2470	6229
142	2484	6201
143	2500	6180
144	2513	6154
145	2528	6131
146	2544	6111
147	2558	6083
148	2572	6058
149	2585	6032
150	2598	6005
151	2611	5978
152	2627	5959
153	2640	5932
154	2651	5900
155	2669	5887
156	2682	5861
157	2696	5837
158	2711	5815
159	2727	5795
160	2740	5770
161	2754	5747
162	2772	5732
163	2784	5704
164	2797	5680
165	2814	5663
166	2828	5640
167	2842	5617
168	2858	5599
169	2870	5571
170	2882	5545
171	2896	5524
172	2911	5503
173	2926	5482
174	2942	5465
175	2956	5442
176	2974	5428
177	2997	5422
178	3012	5401
179	3026	5381
180	3039	5357
181	3054	5336
182	3066	5311
183	3081	5291
184	3095	5270
185	3110	5250
186	3122	5226
187	3137	5207
188	3148	5181
189	3162	5160
190	3177	5140
191	3192	5121
192	3207	5101
193	3225	5087
194	3242	5070
195	3257	5051
196	3270	5029
197	3281	5005
198	3293	4982
199	3309	4964
200	3326	4948
201	3342	4930
202	3356	4911
203	3369	4888
204	3392	4881
205	3409	4865
206	3425	4848
207	3444	4836
208	3459	4816
209	3475	4799
210	3490	4781
211	3507	4765
212	3522	4746
213	3534	4723
214	3546	4701
215	3560	4681
216	3577	4665
217	3592	4647
218	3606	4627
219	3618	4605
220	3633	4587
221	3644	4563
222	3660	4547
223	3675	4528
224	3689	4509
225	3702	4488
226	3716	4469
227	3727	4447
228	3742	4429
229	3757	4411
230	3772	4393
231	3786	4373
232	3800	4355
233	3813	4334
234	3824	4313
235	3839	4295
236	3854	4277
237	3867	4257
238	3884	4241
239	3902	4227
240	3913	4205
241	3925	4185
242	3951	4178
243	3966	4162
244	3980	4143
245	3998	4128
246	4015	4113
247	4027	4092
248	4040	4072
249	4057	4057
250	4071	4038
251	4086	4021
252	4101	4004
253	4114	3984
254	4128	3966
255	4139	3945
256	4155	3929
257	4171	3912
258	4183	3892
259	4195	3873
260	4214	3859
261	4236	3848
262	4248	3828
263	4262	3810
264	4274	3790
265	4287	3772
266	4302	3754
267	4319	3739
