iter	Passed	Remaining
0	16	2497
1	34	2528
2	49	2404
3	63	2321
4	77	2253
5	93	2239
6	109	2230
7	124	2208
8	138	2170
9	152	2138
10	166	2103
11	180	2073
12	193	2043
13	207	2018
14	221	1997
15	235	1974
16	249	1951
17	263	1931
18	277	1914
19	291	1893
20	304	1872
21	318	1852
22	332	1836
23	346	1821
24	360	1804
25	374	1788
26	388	1769
27	401	1751
28	415	1734
29	429	1718
30	443	1701
31	456	1684
32	471	1670
33	485	1655
34	499	1639
35	512	1622
36	526	1607
37	539	1591
38	553	1575
39	567	1559
40	580	1542
41	594	1528
42	608	1514
43	623	1501
44	637	1488
45	651	1473
46	666	1460
47	680	1446
48	694	1431
49	708	1417
50	722	1403
51	737	1390
52	752	1376
53	766	1363
54	781	1349
55	795	1335
56	809	1320
57	822	1305
58	836	1290
59	850	1275
60	864	1261
61	878	1246
62	892	1232
63	905	1217
64	919	1202
65	933	1188
66	946	1173
67	960	1158
68	974	1144
69	988	1130
70	1002	1115
71	1015	1100
72	1029	1085
73	1043	1071
74	1057	1057
75	1070	1042
76	1084	1028
77	1098	1014
78	1114	1001
79	1129	988
80	1143	973
81	1158	960
82	1172	946
83	1186	932
84	1200	918
85	1214	903
86	1228	889
87	1242	875
88	1256	861
89	1271	847
90	1286	833
91	1300	819
92	1314	805
93	1328	791
94	1342	777
95	1356	763
96	1370	748
97	1384	734
98	1397	720
99	1412	706
100	1425	691
101	1438	677
102	1452	662
103	1466	648
104	1480	634
105	1494	620
106	1507	605
107	1521	591
108	1536	578
109	1551	564
110	1565	549
111	1578	535
112	1592	521
113	1605	507
114	1619	492
115	1633	478
116	1646	464
117	1661	450
118	1675	436
119	1690	422
120	1703	408
121	1718	394
122	1732	380
123	1746	366
124	1760	352
125	1774	337
126	1787	323
127	1801	309
128	1815	295
129	1831	281
130	1846	267
131	1860	253
132	1873	239
133	1887	225
134	1902	211
135	1916	197
136	1930	183
137	1944	169
138	1958	154
139	1971	140
140	1985	126
141	1999	112
142	2013	98
143	2026	84
144	2040	70
145	2055	56
146	2068	42
147	2082	28
148	2097	14
149	2111	0
